match_id,over_number,Batsman_team,Batsman_name,batting_style,Bowler_team,Bowler_name,Bowling_style,Run_scored,Wicket_type,Wicket,Extras,Extra,Shot_area,Ball_line,Ball_length
1,0,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Ayush Shukla","Right arm fast",4,NULL,0,NULL,0,"fine leg","Leg Stump","Short Length"
1,0,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Ayush Shukla","Right arm fast",0,NULL,0,NULL,0,"leg side",In-wicket,"Full Length"
1,0,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Ayush Shukla","Right arm fast",0,NULL,0,NULL,0,"leg side",In-wicket,"Short Length"
1,0,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Ayush Shukla","Right arm fast",0,NULL,0,NULL,0,"third man","Outside Off","Good Length"
1,0,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Ayush Shukla","Right arm fast",4,NULL,0,NULL,0,"long on","Outside Off","Good Length"
1,0,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Ayush Shukla","Right arm fast",4,NULL,0,NULL,0,"fine leg","Leg Stump","Short Length"
1,0,"Hong Kong","Zeeshan Ali","Right hand Bat",Afghanistan,"Fazalhaq Farooqi","Left arm Fast",1,NULL,0,NULL,0,"leg side","Leg Stump","Short Length"
1,0,"Hong Kong","Anshuman Rath","left hand Bat",Afghanistan,"Fazalhaq Farooqi","Left arm Fast",0,Caught,1,NULL,0,"third man","Outside Off","Good Length"
1,0,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Fazalhaq Farooqi","Left arm Fast",0,NULL,0,NULL,0,"long on",In-wicket,"Good Length"
1,0,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Fazalhaq Farooqi","Left arm Fast",1,NULL,0,NULL,0,"off side","Outside Off","Full Length"
1,0,"Hong Kong","Zeeshan Ali","Right hand Bat",Afghanistan,"Fazalhaq Farooqi","Left arm Fast",0,NULL,0,wide-5,1,miss,"Leg Stump","Good Length"
1,0,"Hong Kong","Zeeshan Ali","Right hand Bat",Afghanistan,"Fazalhaq Farooqi","Left arm Fast",4,NULL,0,NULL,0,"long off","Outside Off","Full Length"
1,0,"Hong Kong","Zeeshan Ali","Right hand Bat",Afghanistan,"Fazalhaq Farooqi","Left arm Fast",0,NULL,0,NULL,0,"leg side","Outside Off","Good Length"
1,1,Afghanistan,"Rahmanullah Gurbaz","Right hand Bat","Hong Kong","Ateeq Iqbal","Right arm fast",1,NULL,0,NULL,0,"leg side",In-wicket,"Good Length"
1,1,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Ateeq Iqbal","Right arm fast",0,NULL,0,NULL,0,"off side","Outside Off","Good Length"
1,1,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Ateeq Iqbal","Right arm fast",4,NULL,0,NULL,0,"off side","Outside Off","Short Length"
1,1,Afghanistan,"Sediqullah Atal","Left hand Bat","Hong Kong","Ateeq Iqbal","Right arm fast",1,NULL,0,NULL,0,"third man","Outside Off","Good Length"
1,1,Afghanistan,"Rahmanullah Gurbaz","Right hand Bat","Hong Kong","Ateeq Iqbal","Right arm fast",0,NULL,0,NULL,0,"off side","Outside Off","Short Length"
1,1,Afghanistan,"Rahmanullah Gurbaz","Right hand Bat","Hong Kong","Ateeq Iqbal","Right arm fast",1,NULL,0,NULL,0,"third man",In-wicket,"Full Length"
1,1,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Azmatullah Omarzai","Right arm fast",0,NULL,0,NULL,0,"long on","Outside Off","Good Length"
1,1,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Azmatullah Omarzai","Right arm fast",0,NULL,0,NULL,0,"off side","Outside Off","Good Length"
1,1,"Hong Kong","Babar Hayat","Right hand Bat",Afghanistan,"Azmatullah Omarzai","Right arm fast",1,NULL,0,NULL,0,"third man","Outside Off","Good Length"
1,1,"Hong Kong","Zeeshan Ali","Right hand Bat",Afghanistan,"Azmatullah Omarzai","Right arm fast",0,NULL,0,NULL,0,"leg side","Outside Off","Good Length"
1,1,"Hong Kong","Zeeshan Ali","Right hand Bat",Afghanistan,"Azmatullah Omarzai","Right arm fast",0,NULL,0,NULL,0,"off side","Outside Off","Good Length"
1,1,"Hong Kong","Zeeshan Ali","Right hand Bat",Afghanistan,"Azmatullah Omarzai","Right arm fast",0,Caught,1,NULL,0,"long on",In-wicket,"Full Length"
1,2,Afghanistan,"Rahmanullah Gurbaz","Right hand Bat","Hong Kong","Ayush Shukla","Right arm fast",6,NULL,0,NULL,0,"long off","Outside Off","Good Length"
